sz002012	凯恩股份
sz002015	*ST霞客
sz002034	美 欣 达
sz002040	南 京 港
sz002046	轴研科技
sz002057	中钢天源	
sz002058	威 尔 泰	
sz002061	江山化工
sz002066	瑞泰科技
sz002072	凯瑞德
sz002077	大港股份
sz002082	栋梁新材
sz002087	新野纺织	
sz002088	鲁阳节能	
sz002098	浔兴股份
sz002105	信隆实业
sz002109	兴化股份
sz002110	三钢闽光	
sz002112	三变科技	
sz002113	天润控股
sz002119	康强电子
sz002120	新海股份
sz002125	湘潭电化	
sz002134	天津普林
sz002136	安 纳 达	
sz002147	方圆支承	
sz002150	通润装备	
sz002159	三特索道	
sz002164	宁波东力	
sz002165	红 宝 丽
sz002193	山东如意
sz002199	东晶电子
sz002200	云投生态
sz002201	九鼎新材
sz002205	国统股份	
sz002209	达 意 隆	
sz002213	特 尔 佳
sz002234	民和股份
sz002265	西仪股份
sz002272	川润股份
sz002270	法因数控
sz002313	日海通讯	
sz002319	乐通股份
sz002347	泰尔重工
sz002350	北京科锐
sz002352	鼎泰新材
sz002360	同德化工
sz002365	永安药业
sz002377	国创高新
sz002379	鲁丰环保
sz002388	新亚制程
sz002395	双象股份
sz002403	爱仕达
sz002409	雅克科技	
sz002420	毅昌股份
sz002435	长江润发
sz002452	长高集团	
sz002457	青龙管业	
sz002485	希努尔
sz002492	恒基达鑫
sz002499	科林环保
sz002513	蓝丰生化
sz002514	宝馨科技
sz002524	光正集团	
sz002530	丰东股份	
sz002537	海立美达	
sz002576	通达动力
sz002578	闽发铝业
sz002579	中京电子
sz002580	圣阳股份
sz002582	好想你
sz002591	恒大高新	
sz002598	山东章鼓
sz002606	大连电瓷
sz002608	*ST舜船
sz002615	哈尔斯
sz002633	*ST申科
sz002634	棒杰股份
sz002637	赞宇科技
sz002652	扬子新材	
sz002660	茂硕电源
sz002661	克明面业	
sz002674	兴业科技
sz002679	福建金森	
sz002682	龙洲股份
sz002691	冀凯股份
sz002696	百洋股份
sz002715	登云股份
sz002725	跃岭股份
sz002730	电光科技
sz002734	利民股份
sz002738	中矿资源	
sz002735	王子新材
sz002748	世龙实业	
sz002753	永东股份
sz002755	东方新星	
sz002759	天际股份	
sz002760	凤形股份
sz002767	先锋电子
sz002768	国恩股份	
sz002780	三夫户外
sz002779	中坚科技
